,elections,happy,location_0,location_1,location_2,location_3,location_total,seg_agents,total_0,total_1,total_2,total_3,run,cnt
0,"[0, 0, 0, 1, 2, 0, 1, 2, 2]",37,"[35, 32, 28, 24, 29, 32, 25, 23, 28]","[26, 21, 24, 32, 28, 29, 36, 24, 27]","[12, 16, 12, 9, 15, 13, 15, 20, 18]","[17, 12, 14, 12, 15, 13, 11, 15, 15]","[90, 81, 78, 77, 87, 87, 87, 82, 88]",9,256,247,130,124,1,UK
1,"[0, 1, 0, 2, 1, 0, 1, 2, 2]",65,"[34, 29, 37, 25, 25, 37, 24, 19, 26]","[27, 32, 20, 28, 29, 25, 35, 26, 25]","[13, 13, 17, 11, 12, 16, 10, 17, 21]","[12, 13, 18, 18, 8, 11, 11, 19, 14]","[86, 87, 92, 82, 74, 89, 80, 81, 86]",9,256,247,130,124,1,UK
2,"[0, 1, 0, 1, 1, 0, 1, 2, 0]",90,"[36, 26, 42, 19, 21, 37, 15, 26, 34]","[18, 28, 12, 38, 31, 27, 39, 26, 28]","[13, 15, 13, 16, 15, 10, 19, 13, 16]","[14, 11, 16, 11, 14, 15, 17, 14, 12]","[81, 80, 83, 84, 81, 89, 90, 79, 90]",13,256,247,130,124,1,UK
3,"[0, 1, 0, 1, 2, 0, 1, 2, 0]",106,"[30, 23, 46, 23, 19, 37, 26, 18, 34]","[25, 33, 22, 33, 32, 19, 38, 23, 22]","[11, 18, 12, 15, 16, 16, 15, 12, 15]","[11, 13, 9, 13, 18, 13, 11, 24, 12]","[77, 87, 89, 84, 85, 85, 90, 77, 83]",14,256,247,130,124,1,UK
4,"[0, 2, 0, 1, 1, 0, 1, 2, 0]",86,"[29, 24, 45, 18, 17, 35, 29, 27, 32]","[22, 24, 16, 32, 30, 18, 45, 28, 32]","[11, 21, 12, 19, 13, 24, 9, 15, 6]","[14, 12, 19, 11, 14, 6, 9, 18, 21]","[76, 81, 92, 80, 74, 83, 92, 88, 91]",19,256,247,130,124,1,UK
5,"[0, 1, 0, 2, 1, 0, 1, 2, 0]",110,"[29, 19, 48, 18, 23, 35, 23, 24, 37]","[26, 32, 14, 28, 35, 22, 39, 20, 31]","[14, 19, 11, 13, 15, 18, 6, 23, 11]","[9, 12, 17, 19, 12, 14, 15, 16, 10]","[78, 82, 90, 78, 85, 89, 83, 83, 89]",27,256,247,130,124,1,UK
6,"[2, 1, 0, 2, 1, 0, 1, 2, 0]",131,"[22, 27, 50, 25, 25, 39, 21, 20, 27]","[28, 33, 19, 26, 32, 23, 42, 21, 23]","[18, 12, 6, 14, 14, 16, 10, 29, 11]","[14, 17, 11, 15, 15, 7, 13, 18, 14]","[82, 89, 86, 80, 86, 85, 86, 88, 75]",36,256,247,130,124,1,UK
7,"[2, 1, 0, 2, 1, 0, 1, 2, 2]",144,"[25, 19, 47, 18, 15, 49, 29, 22, 32]","[28, 31, 23, 26, 35, 16, 45, 20, 23]","[12, 17, 11, 20, 15, 12, 8, 22, 13]","[18, 12, 10, 16, 10, 12, 7, 17, 22]","[83, 79, 91, 80, 75, 89, 89, 81, 90]",43,256,247,130,124,1,UK
8,"[2, 2, 0, 2, 2, 0, 1, 2, 2]",150,"[28, 18, 48, 19, 26, 50, 22, 20, 25]","[21, 29, 22, 30, 26, 16, 49, 31, 23]","[16, 16, 9, 18, 15, 11, 11, 20, 14]","[13, 21, 6, 16, 14, 13, 10, 17, 14]","[78, 84, 85, 83, 81, 90, 92, 88, 76]",57,256,247,130,124,1,UK
9,"[2, 2, 0, 2, 2, 0, 1, 2, 1]",122,"[21, 23, 58, 22, 16, 48, 24, 22, 22]","[23, 27, 19, 16, 30, 19, 52, 23, 38]","[14, 20, 12, 20, 10, 14, 12, 18, 10]","[15, 11, 6, 20, 24, 8, 4, 22, 14]","[73, 81, 95, 78, 80, 89, 92, 85, 84]",35,256,247,130,124,1,UK
